Pharmacy,Populations,Disability,Insurance,Poverty,Work
CVS - 3816,[['37129011906']],[0.10448807854137447],[0.9344319775596073],[0.32959326788218796],[0.8248436103663985]
FOOD LION - 2580,"[['37107011002', '37107011100', '37107011100']]",[0.16401054084577738],[0.8084452252478354],[0.16924709701585716],[0.7265753424657534]
TODD'S PHARMACY INCORPORATED,"[['37139960200', '37139960100']]",[0.14833801885232348],[0.9045807838597651],[0.18997306815827636],[0.5754049737622633]
CVS - 3534,[['37111970400']],[0.19332234130255566],[0.7951360263808739],[0.29485049833887045],[0.6438522107813447]
SAM'S CLUB - 8219,"[['37119005709', '37119005709']]",[0.0868657339736897],[0.9363123825433285],[0.02946748053041465],[0.8659541984732825]
CVS - 6405,"[['37045950900', '37045950900']]",[0.22292051756007394],[0.933456561922366],[0.2536204975863349],[0.6065464261857048]
RITE AID - 11425,"[['37195000501', '37195000601', '37195000602', '37195000501']]",[0.12663508449409602],[0.9038393551580287],[0.14213197969543148],[0.7871364653243847]
CRAWLEY MEMORIAL HOSPITAL,"[['37045951501', '37045951502', '37045951501']]",[0.11795533338708376],[0.901636700798194],[0.0507715281234445],[0.6604656604656605]
CVS - 5592,[['37115010602']],[0.14726389182336785],[0.903443904500317],[0.08975248669905159],[0.7611077297626293]
PROSPECT HILL COMMUNITY HEALTH CENTER,"[['37033930600', '37135010803', '37135010804', '37135010804']]",[0.11800692264348386],[0.9371327376640103],[0.08774328454238378],[0.8175473579262214]
PARKER DRUG COMPANY,"[['37061090103', '37191000700']]",[0.18540794979079497],[0.7437238493723849],[0.21286610878661089],[0.799347471451876]
NEIL'S COMPOUNDING PHARMACY,"[['37119006224', '37119006212']]",[0.11322823851953392],[0.92446881425634],[0.06949965729952022],[0.8378268801946077]
GRIFFIN DRUG CENTER,[['37045950500']],[0.1823040380047506],[0.8643111638954869],[0.2324955116696589],[0.689094107299912]
RITE AID - 11435,"[['37025041901', '37025041901']]",[0.1631156129933636],[0.8623821166608453],[0.46769123297240656],[0.7914338919925512]
RITE AID - 11563,"[['37089931100', '37089931100']]",[0.12294673967147834],[0.8227974116475859],[0.08611249377799901],[0.8028169014084507]
WAL-MART SUPERCENTER - 4224,"[['37035010101', '37035010102', '37035010201', '37035010203', '37035010203']]",[0.13677078015500999],[0.9166937392676475],[0.09148352924778144],[0.7852370096690512]
CVS - 5532,"[['37081015800', '37081015800']]",[0.11572298669072863],[0.9697721633205504],[0.08019399954883825],[0.7721363316936051]
PARKER'S OF PEACHTREE,"[['37039930501', '37043950202', '37039930501']]",[0.18762060264212557],[0.8385037850675375],[0.09358648527433099],[0.7527121001390821]
CARMEL FAMILY PHARMACY,[['37119005829']],[0.09301130524152107],[0.9100719424460432],[0.08838643371017471],[0.8401142041399001]
KOONCE DRUG COMPANY,"[['37047930500', '37047930700', '37047930700']]",[0.1849956634865568],[0.8687771032090199],[0.2940920938314509],[0.5640338504936531]
CVS - 7544,[['37151030201']],[0.20253968253968255],[0.8476190476190476],[0.2092063492063492],[0.7787703625853915]
RITE AID - 11398,[['37183054006']],[0.07080968031072603],[0.9193307439498059],[0.200478040035853],[0.8151075977162934]
TRENT EAST HEALTH MART PHARMACY,"[['37049960101', '37049961002', '37049961003', '37049961004', '37049960900']]",[0.13517255018293287],[0.9497181845149807],[0.09708975299584251],[0.7403273185060848]
WALGREENS - 10431,"[['37031970804', '37031970805', '37031970806', '37031970806']]",[0.12187002460558692],[0.9135909683022145],[0.06569031707663871],[0.7831711223358384]
WAL-MART SUPERCENTER - 1255,"[['37165010101', '37165010102', '37165010501', '37165010502', '37165010102']]",[0.17063453503060927],[0.8823729472354485],[0.22529798102651424],[0.692777548493603]
WALGREENS - 12350,"[['37179020314', '37179020315', '37179020314']]",[0.08695381163124104],[0.9275696565480271],[0.043662060697835826],[0.825032054443239]
TODD'S NORTHSIDE PROFESSIONAL PHARMACY INCORPORATED,"[['37139960501', '37139960100']]",[0.19416027280477408],[0.8574168797953964],[0.0913781982369383],[0.765]
THE PRESCRIPTION SHOPPE,"[['37125950402', '37125950403', '37125950404', '37125950403']]",[0.1701686610760388],[0.875435786299821],[0.10406258836836649],[0.8071710897797855]
WAL-MART SUPERCENTER - 1097,[['37125951102']],[0.11048265460030166],[0.8946078431372549],[0.08844896476571014],[0.8419333768778576]
CVS - 7492,[['37119005709']],[0.0868657339736897],[0.9363123825433285],[0.02946748053041465],[0.8659541984732825]
WALGREENS - 9757,[['37183053003']],[0.05050687907313541],[0.9120202751629254],[0.08979000724112962],[0.8442833761982698]
HARRIS PHARMACY INCORPORATED,[['37069060302']],[0.188412852969815],[0.832035053554041],[0.25316455696202533],[0.6865464632454924]
CONTINUING CARE RX OF NORTH CAROLINA,"[['37183052303', '37183052304', '37183052305', '37183051000']]",[0.13052369520761092],[0.9323375122254823],[0.2998211091234347],[0.8350600911728139]
SALEMBURG PHARMACY,"[['37163970302', '37163970401', '37163970402', '37163970501', '37163970502', '37163970501']]",[0.15423771952150675],[0.840926444387885],[0.14488979228863622],[0.7376471772164637]
WAL-MART SUPERCENTER - 3658,"[['37081011905', '37081012704', '37081012705', '37081012706', '37081012803', '37081012705']]",[0.12015807694820041],[0.847148736037625],[0.27528972696916126],[0.7193168611995352]
WALGREENS - 9661,[['37159050300']],[0.27749874434957306],[0.8837267704671019],[0.2795077850326469],[0.6521256931608133]
CVS - 1246,"[['37077970601', '37077970606', '37077970606']]",[0.16020025031289112],[0.9169416315849357],[0.0647913304127277],[0.7414544235924933]
WALGREENS - 7168,"[['37183053421', '37183053421']]",[0.10414312617702448],[0.9888888888888889],[0.0480225988700565],[0.8279352226720648]
CVS - 3918,"[['37183054214', '37183054215', '37183054303', '37183054215']]",[0.09180282470229853],[0.9363749653835503],[0.09156643259403463],[0.7984326380085283]
DRUGCO DISCOUNT PHARMACY,"[['37131920402', '37185950101', '37185950101']]",[0.20943424391700255],[0.9396924914166294],[0.09792506344230482],[0.6959152798789713]
CVS - 5556,"[['37183053425', '37183053425']]",[0.05928085519922255],[0.9919015225137674],[0.011135857461024499],[0.8226299694189603]
CVS - 4116,"[['37021000200', '37021000300', '37021000200']]",[0.12281711763577048],[0.855114181539052],[0.24702723436900653],[0.7423497267759562]
WAL-MART SUPERCENTER - 1355,"[['37031970603', '37031970606', '37031971003', '37031990100', '37031970606']]",[0.15181425079902236],[0.9257379206617785],[0.05918595967139657],[0.7831131738664763]
CVS - 5585,[['37133002600']],[0.1409204423831609],[0.8098465929361398],[0.32483660130718955],[0.7400990099009901]
VIEWMONT PHARMACY,"[['37035010402', '37035010501', '37035010501']]",[0.11767951446362418],[0.8596989043903208],[0.06073458308592756],[0.7681744749596123]
TARHEEL PHARMACY,"[['37139960300', '37143920102', '37139960300']]",[0.22666506082138985],[0.9256895098157293],[0.39747747747747747],[0.6213788457219852]
SERVANT PHARMACY,"[['37183052401', '37183052407', '37183052410', '37183052411', '37183053521', '37183052401']]",[0.058885269634455305],[0.9146941730003619],[0.12972380877865583],[0.8313792947354126]
WAL-MART SUPERCENTER - 3304,"[['37157040101', '37157040102', '37157041200']]",[0.20794370891584113],[0.8990834182020183],[0.21912878787878787],[0.6705650274763985]
BROWN GARDINER DRUG COMPANY,"[['37081010404', '37081010404']]",[0.06725734997986307],[0.981876761981474],[0.03302456705598067],[0.6282457251424952]
INGLES MARKETS - 180,"[['37021002704', '37021002804', '37021002702']]",[0.14054054054054055],[0.9183915622940013],[0.08839268018761974],[0.7665820549608211]
RITE AID - 11342,"[['37037020600', '37105030102', '37105030601', '37105030102']]",[0.1276505287771696],[0.9240048891959398],[0.050074579160451736],[0.8554776585860292]
CAMP GEIGER BRANCH MEDICAL CLINIC PHARMACY-DOD,"[['37133000306', '37133001000', '37133001000']]",[0.2187459930760354],[0.9597384280035902],[0.09517819706498952],[0.8924058473736373]
INGLES MARKETS - 121,"[['37027030801', '37027031401', '37027030801']]",[0.18686473807662235],[0.9521947950407684],[0.171048215684081],[0.7723932472691162]
YOUR PHARMACY OF LEXINGTON / PILL TIME,"[['37057061204', '37057061300', '37057061300']]",[0.2463519313304721],[0.867381974248927],[0.2279243119266055],[0.6054655870445345]
CVS - 7320,"[['37157040700', '37157040800', '37157040800']]",[0.17279313120472228],[0.9095787496646096],[0.10182452374563992],[0.7351374387385468]
RITE AID - 11456,[['37179020602']],[0.11983181499649614],[0.7783228217706143],[0.23067943030586038],[0.7621681415929203]
SHELTON PHARMACY COMPOUNDING SPECIALISTS,"[['37089930900', '37089930900']]",[0.17454422687373397],[0.9196488858879136],[0.051654287643484134],[0.8232911392405063]
WAL-MART SUPERCENTER - 1842,"[['37081016503', '37081016503']]",[0.043514092632272953],[0.9449480797758365],[0.05785396406790835],[0.8927423059255857]
CVS - 7322,"[['37023021100', '37023021100']]",[0.22939582336999842],[0.9188586003507094],[0.15892459433662107],[0.7588454376163873]
HARRIS TEETER - 104,"[['37183053619', '37183053620', '37183053620']]",[0.04028355258673574],[0.9645559266580328],[0.0330769754304771],[0.8026934201012292]
HARRIS TEETER - 43,"[['37183054217', '37183054219']]",[0.04183056701525473],[0.9234385493619879],[0.004409509202453987],[0.8296669721967613]
RITE AID - 11381,"[['37069060601', '37183054216', '37183054221', '37183054215']]",[0.0944779534109817],[0.9547628951747088],[0.03213394342762063],[0.7959020329758284]
TAYLOR DRUG COMPANY,"[['37131920101', '37131920102', '37131920103']]",[0.14741830880518833],[0.8770266899476179],[0.16110414052697616],[0.6750212404418012]
WAL-MART SUPERCENTER - 1197,"[['37127010505', '37127010505']]",[0.13677339135840846],[0.9689151383276344],[0.13242151072427727],[0.8260869565217391]
CVS - 3594,[['37129010700']],[0.24070125562662875],[0.8858090499881545],[0.34579219558063],[0.6924322136786726]
SAM'S DRUG STORE,"[['37155960900', '37155960900']]",[0.1818637274549098],[0.8962925851703407],[0.2029058116232465],[0.7520215633423181]
CVS - 5587,"[['37051003501', '37051003602', '37085071203', '37085071204', '37085071303', '37051003501']]",[0.13206948800169138],[0.9177913245709856],[0.18322780721023388],[0.7126228660113813]
WALGREENS - 10255,"[['37179021021', '37179021020']]",[0.03531425015556938],[0.8789670192906036],[0.01773490976975731],[0.8483832335329341]
EAST CAROLINA UNIVERSITY STUDENT HEALTH SERVICES PHARMACY,"[['37147000101', '37147000101']]",[0.13585375986705442],[0.9397590361445783],[0.6281678437889489],[0.6470074268239406]
RITE AID - 11505,"[['37051003203', '37051003205', '37051003208', '37051003209', '37051003302', '37051003302']]",[0.16167166769097285],[0.8842775026210188],[0.21396012387348204],[0.7663860830527497]
CVS - 2710,"[['37063002034', '37063002023']]",[0.07381128878534364],[0.9366726675844541],[0.07116382505559674],[0.858072513170127]
CALABASH FAMILY PHARMACY,"[['37019020517', '37019020516']]",[0.20457110609480814],[0.9311512415349887],[0.10016930022573363],[0.6683700914470145]
CVS - 4622,"[['37129012004', '37129012006', '37129012009', '37129012010', '37129012006']]",[0.11581769436997319],[0.9356980820787791],[0.040675174969123096],[0.8113540676354747]
CVS - 3319,"[['37119005828', '37119005829']]",[0.08493054334446984],[0.9405662036222965],[0.04290487075786882],[0.8540992448759439]
EDGEWAY PHARMACY,"[['37071031001', '37071032201', '37071032301', '37071032201']]",[0.16777595297778547],[0.9190076929725992],[0.1071951744937527],[0.8202723535457348]
STOKES REYNOLDS MEMORIAL HOSPITAL,"[['37169070102', '37169070200', '37169070200']]",[0.22872456792824328],[0.8806606869394006],[0.1367893705075147],[0.6941848390446521]
WALGREENS - 10275,[['37119005406']],[0.0948586118251928],[0.920051413881748],[0.09943181818181818],[0.7596439169139466]
WAL-MART SUPERCENTER - 5743,"[['37101041105', '37101041108', '37101041109', '37101041111', '37101041109']]",[0.14360425767550605],[0.922168215098751],[0.04815270935960591],[0.7967264081931237]
HARRIS TEETER - 298,"[['37037020703', '37183053410', '37183053411', '37183053617']]",[0.055122281409105627],[0.9740133611936784],[0.06430527338574331],[0.7893042209588972]
INGLES MARKETS - 55,"[['37021002603', '37087920201', '37087920202', '37087920201']]",[0.20192475940507437],[0.8671041119860018],[0.12205623901581722],[0.7601867572156197]
RITE AID - 11502,[['37051003800']],[0.22082810539523212],[0.8707653701380176],[0.354014598540146],[0.4941558441558442]
MASSEY HILL DRUG COMPANY,"[['37051000500', '37051000500']]",[0.247001332741004],[0.8382940915148823],[0.4329080510338759],[0.6353767560664112]
RITE AID - 11508,"[['37125950702', '37125950703', '37125950704', '37125951200', '37125950702']]",[0.15899974931060415],[0.9464778139884683],[0.06076899030947171],[0.763413318953896]
WAL-MART - 1795,"[['37175960100', '37175960301']]",[0.1532015189210423],[0.8589760377111432],[0.11879382889200561],[0.7876423450021088]
CVS - 2772,[['37119005817']],[0.08228857989514475],[0.9892865283793025],[0.06788571428571429],[0.8157099697885196]
GREENSBORO TREATMENT CENTER,"[['37081012504', '37081012504']]",[0.10398773006134969],[0.8260736196319018],[0.31093990755007705],[0.8329048843187661]
HARRIS TEETER - 120,"[['37037020704', '37063002019', '37063002033', '37135012103', '37135012103']]",[0.08260410848383293],[0.9630112331657668],[0.07819772854217091],[0.866954851104707]
MEDICAL ARTS PHARMACY OF LUMBERTON,"[['37155960802', '37155961100', '37155961200', '37155961302', '37155961500', '37155961601', '37155961200']]",[0.13751772135584484],[0.8679812690638828],[0.282473252266575],[0.6389356922212861]
HOUSER DRUG COMPANY INCORPORATED,"[['37071030700', '37071030700']]",[0.1423076923076923],[0.9348901098901099],[0.17032967032967034],[0.6832560101223113]
CROSSNORE DRUG,"[['37011930400', '37011930400']]",[0.1901743264659271],[0.8871632329635499],[0.0659270998415214],[0.40115985879979826]
CVS - 7329,"[['37105030402', '37105030300']]",[0.2198922662562524],[0.8267602924201616],[0.246321365509123],[0.7129069196793718]
RITE AID - 11389,"[['37183051101', '37183051400', '37183051502', '37183052404', '37183052408', '37183052409', '37183051502']]",[0.0571319018404908],[0.9234662576687117],[0.2771376591873863],[0.6392904073587385]
RITE AID - 11313,"[['37067002801', '37169070506']]",[0.14019175952319254],[0.9128012438455558],[0.08394965615674063],[0.7449567723342939]
TOWN CENTER PHARMACY,"[['37125950900', '37125951001', '37125950900']]",[0.19293550976719293],[0.8643296762108643],[0.10013143744772374],[0.7767115704004429]
US BIOSERVICES,"[['37119003903', '37119003903']]",[0.19139004149377592],[0.866701244813278],[0.5934459805427548],[0.725287356321839]
TARHEEL DRUG,"[['37125950100', '37125950201', '37125950202', '37125950201']]",[0.16718355571583124],[0.8434186801298234],[0.18172461956921268],[0.7148911798396335]
INGLES - 28,"[['37115010400', '37115010500']]",[0.17260751646648587],[0.9128244866330879],[0.11412625096227867],[0.7781392322706572]
HIGH POINT REGIONAL RETAIL PHARMACY,[['37081013700']],[0.0891483152029716],[0.9413637569647121],[0.06606526930220218],[0.8165728077232502]
WALGREENS - 12283,[['37081010200']],[0.08554867079752149],[0.8606835898460924],[0.25290401467291623],[0.7114252061248527]
HARRIS TEETER - 90,"[['37183053711', '37183053720', '37183053721', '37183053721']]",[0.058255376017494837],[0.9685943384764913],[0.018952739642813753],[0.8309730932632005]
ASHEVILLE DISCOUNT PHARMACY,"[['37021000100', '37021000600', '37021000100']]",[0.17769272826681246],[0.8911973756150902],[0.25404220334338173],[0.6270676691729323]
WAL-MART SUPERCENTER - 948,[['37035011000']],[0.17078189300411523],[0.828395061728395],[0.33442892358258014],[0.7416331994645248]
BI-LO - 93,"[['37071031202', '37071031202']]",[0.10596833130328867],[0.9212342671538774],[0.194750656167979],[0.5859333685880487]
CVS - 5757,[['37081013602']],[0.1298434693353862],[0.8211444701052092],[0.22527187985499741],[0.8218623481781376]
WAL-MART - 1060,[['37023021400']],[0.22391505078485688],[0.8605724838411819],[0.17144177449168208],[0.6891631315079059]
WAL-MART SUPERCENTER - 1337,"[['37171930802', '37171930902', '37171930901']]",[0.1929740134744947],[0.8544273339749759],[0.16477410002416043],[0.7784489477786438]
RITE AID - 11447,"[['37119006306', '37119006307', '37119006309', '37119006309']]",[0.12454058594980573],[0.9027617347474536],[0.10920928278903706],[0.7925469971718516]
WAL-MART SUPERCENTER - 2908,"[['37123960102', '37123960502', '37123960102']]",[0.19380472371422264],[0.8652784931204474],[0.24739407574053243],[0.6961325966850829]
RITE AID - 11442,"[['37071031901', '37071031902', '37071032000', '37071032801', '37071032900', '37071032801']]",[0.24921630094043887],[0.9043887147335423],[0.23314311458176903],[0.6682269665486927]
RITE AID - 11401,"[['37183054022', '37183054023', '37183054022']]",[0.09956195244055069],[0.880287859824781],[0.10385977997389521],[0.8395097471530593]
HARRIS TEETER - 345,[['37001020601']],[0.09090909090909091],[0.9885590599876314],[0.04236239950525665],[0.8566473988439306]
CVS - 5313,"[['37183053718', '37183053719', '37183053724', '37183053718']]",[0.054185673776353104],[0.9641844408827518],[0.02785652656230741],[0.846607108914655]
PORTERS NECK PHARMACY,"[['37129011612', '37129011612']]",[0.05668430937339935],[0.9079733652040294],[0.06966023561550282],[0.7980747705395119]
WALGREENS - 11251,"[['37179021009', '37179021012', '37179021009']]",[0.040030955396088364],[0.9631349373856761],[0.02005065428450823],[0.8071913015394553]
RAMSEUR PHARMACY,"[['37151030805', '37151030900', '37151031001', '37151031002', '37151031102', '37151031102']]",[0.19235308000944065],[0.8293131932971443],[0.15335161198827646],[0.7398039362418618]
CVS - 2314,[['37119006208']],[0.04729011689691817],[0.8929330499468651],[0.04649309245483528],[0.8111652304233795]
RITE AID - 11360,"[['37183052306', '37183052307', '37183053007', '37183053011', '37183053003']]",[0.067424204334054],[0.9432349539946704],[0.12919216955839952],[0.8776806989674345]
CVS - 5545,"[['37055970602', '37055990100', '37055970602']]",[0.11089206505667816],[0.8536224741251848],[0.0451837140019861],[0.9317988064791134]
CVS - 7512,[['37019020514']],[0.16631652661064425],[0.917016806722689],[0.0914526908195568],[0.7426733380986419]
CVS - 7571,[['37089931100']],[0.12294673967147834],[0.8227974116475859],[0.08611249377799901],[0.8028169014084507]
RITE AID - 11565,"[['37021002206', '37021002206']]",[0.1546300398759415],[0.9703145768719539],[0.03721754541426672],[0.840625]
RIEGELWOOD MUTUAL DRUG,"[['37019020602', '37047930100', '37141920502', '37047930100']]",[0.21049547496581808],[0.8131388762289211],[0.14611902106161012],[0.7064795461331741]
RITE AID - 11317,"[['37067003105', '37067003105']]",[0.1626740947075209],[0.9144846796657382],[0.1138627953316254],[0.7276575729068674]
RITE AID - 11348,"[['37081011400', '37081012804', '37081012604']]",[0.139158118146445],[0.8755571276972055],[0.302004834352339],[0.7566454951776053]
HARRIS TEETER - 3091,"[['37129012109', '37129012110']]",[0.10900254570701226],[0.9332330479055774],[0.11366018399906835],[0.8291877186164011]
WAL-MART - 1950,"[['37091950402', '37091950402']]",[0.22474549725920126],[0.8846254241712347],[0.20219722730839654],[0.6418279127212845]
FOOD LION - 2650,"[['37159051600', '37159051802', '37159051700']]",[0.16275236918005767],[0.8833951380304903],[0.13085321053448543],[0.743455497382199]
EDGEWOOD PHARMACY,"[['37001020601', '37001020601']]",[0.09090909090909091],[0.9885590599876314],[0.04236239950525665],[0.8566473988439306]
HARRIS TEETER - 27,"[['37119005843', '37119005861']]",[0.0737448559670782],[0.9367901234567901],[0.04248257550614006],[0.8393767705382437]
CVS - 3898,"[['37135012101', '37135012102', '37135012101']]",[0.10077869314975736],[0.9166008351201896],[0.12810338963836299],[0.7510964912280702]
CVS - 7588,"[['37021000400', '37021000400']]",[0.11178320832325188],[0.9049116864263247],[0.10308253231687106],[0.814567526555387]
KING HEALTHCARE PHARMACY,"[['37169070504', '37169070506']]",[0.1925133689839572],[0.8774509803921569],[0.17587641117052882],[0.7150022799817601]
MIDTOWN PHARMACY,"[['37081015202', '37081015301', '37081017200']]",[0.09094591857403281],[0.9542232124772129],[0.08147847690513614],[0.8070763813196948]
WALGREENS - 4843,"[['37071032302', '37071032302']]",[0.2255278310940499],[0.9049904030710173],[0.299744081893794],[0.7162322274881516]
RURAL HEALTH GROUP PHARMACY,"[['37185950201', '37185950202', '37185950201']]",[0.21166258624527043],[0.9205430669931004],[0.24649298597194388],[0.648689263650025]
CVS - 5886,"[['37183053203', '37183053203']]",[0.05790280210157618],[0.945161996497373],[0.04214098073555166],[0.9070422535211268]
CVS - 4022,"[['37119000104', '37119000600', '37119000104']]",[0.04208494208494209],[0.9287644787644788],[0.18667953667953668],[0.9163199260286639]
COLE'S PHARMACY,[['37145920400']],[0.24196221411998675],[0.8578057673185283],[0.25867195242814667],[0.7656599552572707]
HARRIS TEETER - 367,"[['37183054213', '37183054220', '37183054220']]",[0.10538429348584182],[0.9154693820616543],[0.13014367415260147],[0.76723395088324]
WALGREENS - 6813,[['37081012619']],[0.15323025952512423],[0.9243511871893981],[0.1],[0.825050505050505]
RITE AID - 11338,"[['37067003103', '37067003107', '37067003108', '37067003202']]",[0.14221667328755463],[0.9146472958401907],[0.13357094365241004],[0.7788209804098583]
MESH PHARMACY,"[['37081010601', '37081011602', '37081010601']]",[0.08178575820932235],[0.8413479276841717],[0.17115217660920254],[0.8006711409395973]
MAIN STREET PHARMACY,"[['37063000302', '37063002200', '37063002200']]",[0.06499402628434886],[0.9230585424133811],[0.1796471858874355],[0.9050526637154633]
WALGREENS - 9091,"[['37081016502', '37081016506']]",[0.08552400981423064],[0.9543463021381002],[0.0755829300483942],[0.7884385382059801]
CVS - 6402,"[['37119006403', '37119006404', '37119006403']]",[0.06963384516267583],[0.9408353913883818],[0.09304438100181676],[0.7941222204944799]
WALGREENS - 11353,[['37037020402']],[0.09970978441127695],[0.6554726368159204],[0.32305127136306794],[0.68888233559422]
RITE AID - 11445,[['37071032506']],[0.06757912745936698],[0.9341317365269461],[0.1502708867978329],[0.8913207547169811]
WALGREENS - 10566,[['37059080600']],[0.1554591467823572],[0.9045553145336226],[0.23740660400096408],[0.7606774668630338]
MEDIPACK PHARMACY,"[['37067003804', '37067003804']]",[0.09874572405929305],[0.8948688711516534],[0.138654503990878],[0.8300826446280992]
SENTRY DRUG CENTER,"[['37109070201', '37109070201']]",[0.13980263157894737],[0.8704769736842105],[0.19152437770006173],[0.7284234752589183]
WALGREENS - 7505,[['37183053204']],[0.07057777777777778],[0.9614222222222222],[0.07461633445052038],[0.8276637615968513]
QUALITY CARE PHARMACY,"[['37123960501', '37125950303', '37125950306', '37125950303']]",[0.11730276795512742],[0.8914766491891233],[0.0784050725521278],[0.7580897703549061]
PIEDMONT HEALTH MART PHARMACY,"[['37119005520', '37119005520']]",[0.04173419773095624],[0.9290923824959482],[0.04872532894736842],[0.7042001787310098]
WALGREENS - 12046,[['37147000606']],[0.1268321866586898],[0.9168411606341609],[0.3275501046963805],[0.7894185437401781]
MEDICINE MART LONG TERM CARE PHARMACY,[['37047931201']],[0.21900953552753],[0.9037219317133189],[0.3079052599200246],[0.5972653822249845]
BLOOM - 2772,"[['37119003301', '37119003302', '37119003401', '37119003402', '37119003402']]",[0.02804691483936767],[0.9658337582865885],[0.037298754279886354],[0.9062145825462788]
RITE AID - 11545,[['37189920601']],[0.1330686917500863],[0.9099068001380739],[0.6230936819172114],[0.7896329928111994]
CVS - 7381,[['37031970304']],[0.22461273666092943],[0.935025817555938],[0.18416523235800344],[0.711849957374254]
SEASHORE DRUGS,[['37019020516']],[0.2417834980464261],[0.967363824408182],[0.05401057228223397],[0.6623062015503876]
SAM'S CLUB - 6573,"[['37133000103', '37133001302', '37133001303', '37133001303']]",[0.16769341547323785],[0.8622289783182655],[0.14106301861403903],[0.7503607503607503]
RITE AID - 11567,"[['37021001802', '37021001900']]",[0.1187764399609502],[0.8973858336045124],[0.08680441674866077],[0.8594968107725017]
BURNSVILLE PHARMACY,"[['37199960400', '37199960200']]",[0.14868571428571428],[0.8838857142857143],[0.12954493482734963],[0.7616858237547893]
WAL-MART SUPERCENTER - 2836,"[['37183053105', '37183053105']]",[0.12105263157894737],[0.8929824561403509],[0.058771929824561406],[0.8449523809523809]
CVS - 4444,"[['37063000101', '37063000102', '37063000102']]",[0.15099314466514327],[0.821761293724732],[0.1931538190777895],[0.7992116579073101]
WALGREENS - 9191,"[['37067003904', '37067003909']]",[0.09539605950944914],[0.9495375954965822],[0.046542018496180136],[0.8126960418222554]
PARSON'S DRUGS,[['37007920502']],[0.21016221374045801],[0.9446564885496184],[0.18177480916030533],[0.6497401039584166]
BARBEE PHARMACY,"[['37093970300', '37093970300']]",[0.32295454545454544],[0.8540909090909091],[0.3431125372450149],[0.6112676056338028]
LANE DRUG,"[['37081011102', '37081011202', '37081011300', '37081011300']]",[0.1857318573185732],[0.897206114918292],[0.28697028310181116],[0.7469555366751628]
MCPHAIL'S PHARMACY,"[['37085071101', '37085071102', '37085070700']]",[0.16002420025712774],[0.8935944944415034],[0.08930987821380243],[0.7011494252873564]
H AND H DRUG COMPANY,"[['37049960302', '37107010100', '37147001402', '37147001404', '37147001500', '37147001500']]",[0.23940149625935161],[0.9078415073427543],[0.21567213842058564],[0.7037302725968436]
HOWELL DRUG COMPANY INCORPORATED,"[['37093970201', '37093980100', '37093970300']]",[0.2599578256794752],[0.8686738519212746],[0.25814711359404097],[0.5469803921568628]
FAIR BLUFF DISCOUNT DRUG,"[['37047930600', '37047930600']]",[0.10109819121447028],[0.7968346253229974],[0.08107235142118863],[0.7126203750633553]
CVS - 3563,[['37035010403']],[0.17333333333333334],[0.8447179487179487],[0.216],[0.6989281210592686]
CVS - 3853,"[['37001020702', '37001020701']]",[0.11993136458051115],[0.9354285198229929],[0.13745145850266413],[0.822501057380516]
RITE AID - 11337,[['37067003201']],[0.1087945413191812],[0.890636846095527],[0.10064442759666414],[0.7723187537447573]
RITE AID - 11501,[['37051001200']],[0.1671542812560952],[0.8677589233469866],[0.34758111521274526],[0.7370972341032221]
WALGREENS - 7365,"[['37183053427', '37183053428', '37183053433', '37183053434', '37183053434']]",[0.06907627916031277],[0.9527919275818435],[0.027596506606928348],[0.8196437407224146]
WALGREENS - 9634,"[['37183053727', '37183053728', '37183980200', '37183053726']]",[0.09519408502772643],[0.9379852125693161],[0.06044362292051756],[0.8598563253378789]
CASWELL DEVELOPMENTAL CENTER,"[['37107010800', '37107010800']]",[0.32229384307623915],[0.9162036008001778],[0.1967103800844632],[0.6616837136113297]
RITE AID - 11463,"[['37159050300', '37159050300']]",[0.27749874434957306],[0.8837267704671019],[0.2795077850326469],[0.6521256931608133]
WALGREENS - 7978,[['37193960600']],[0.21980495123780946],[0.9302325581395349],[0.20979284369114878],[0.7452380952380953]
DRUGS AMERICA,[['37155960900']],[0.1818637274549098],[0.8962925851703407],[0.2029058116232465],[0.7520215633423181]
CVS - 7350,"[['37129011504', '37129011610', '37129011610']]",[0.13849546264099738],[0.8537019760834534],[0.2580091041827708],[0.7111204013377926]
DALLAS EXPRESS PHARMACY INCORPORATED,"[['37071030901', '37071030901']]",[0.183861459100958],[0.9016212232866617],[0.18567737172388335],[0.8237704918032787]
O'BERRY NEURO-MEDICAL TREATMENT CENTER,"[['37191001102', '37191001102']]",[0.15134803921568626],[0.8949142156862745],[0.06815440289505428],[0.7299403943145346]
ALLEN DRUGS,"[['37103920100', '37103920200', '37103920100']]",[0.22807392372609764],[0.8865505822027561],[0.18106294600063905],[0.6581088410775628]
RITE AID - 11516,[['37153970700']],[0.21311970979443773],[0.9141475211608222],[0.5303900816449955],[0.54375]
WENDELL DRUG,"[['37101040205', '37183054402', '37183054403', '37183054404', '37183054404']]",[0.15765833208564156],[0.8748914508159904],[0.09450073664271325],[0.8049294784686754]
WALGREENS - 12437,"[['37057061803', '37057061805', '37057061501']]",[0.16220670932712816],[0.8726003490401396],[0.15878378378378377],[0.7176377952755906]
MASHBURN MEDICAL CENTER,[['37115010500']],[0.17075185899201323],[0.911594602038006],[0.10757080610021787],[0.7592421441774492]
